name,points,division,age,won,lost,draw,stance,residence_city,residence_country,rank,stars,last6,last5,last4,last3,last2,last1
Felix Caraballo,2.653,feather,34,13,3,2,orthodox,Mayaguez, Puerto Rico,1695,2,W,W,W,W,L,L
Marvin Esquierdo,2.653,light,25,16,2,1,orthodox,Cagayan de Oro City, Philippines,1696,2,W,W,W,W,W,W
Saul Rodriguez,2.649,light,27,24,1,1,orthodox,Riverside, USA,1697,2,W,W,W,W,L,W
Rene Mark Cuarto,2.648,minimum,24,18,2,2,orthodox,Jose Dalman (Ponot), Philippines,1698,2,W,W,L,W,D,W
Jason Canoy,2.648,feather,30,27,10,2,orthodox,Cebu City, Philippines,1699,2,W,L,W,L,L,L
Artjoms Ramlavs,2.647,super feather,31,13,1,0,southpaw,Riga, Latvia,1700,2,W,W,W,L,W,W
Kevin Johnson,2.645,welter,28,8,2,0,orthodox,Las Vegas, USA,1701,2,W,L,W,W,L,W
Leti Leti,2.643,super middle,33,15,1,0,orthodox,Brisbane, Australia,1702,2,W,W,W,W,W,W
Enrique Collazo,2.642,super middle,32,14,1,1,orthodox,San Juan, Puerto Rico,1703,2,W,W,L,W,W,W
Daiki Tomita,2.636,light fly,23,15,2,0,orthodox,Sakai, Japan,1704,2,W,L,W,W,L,W
Francisco Horta,2.632,super bantam,27,20,4,1,orthodox,Cancun, Mexico,1705,2,W,W,W,W,W,L
Valentyn Golovko,2.631,welter,33,25,2,0,orthodox,Kharkiv, Ukraine,1706,2,W,NC,L,W,W,W
Vitalii Kopylenko,2.631,middle,36,28,3,0,orthodox,Oxnard, USA,1707,2,W,W,W,W,L,L
Gyung Mo Yuh,2.627,welter,33,7,6,3,orthodox,Gwangju City, South Korea,1708,2,W,L,W,W,W,W
Lanell Bellows,2.625,super middle,35,20,6,3,orthodox,Las Vegas, USA,1709,2,L,D,L,W,W,L
